latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
11.99427,108.97271,313.17,1.49,1.21,2026-05-22,0158,T,45,6.1NRT,296.29,10.37,D
12.23413,105.5814,315.69,1.01,1.01,2026-05-22,0158,T,62,6.1NRT,297.17,6.4,D
10.96692,107.21976,315.25,1.2,1.09,2026-05-22,0158,T,40,6.1NRT,297.62,8.77,D
10.75755,107.73315,327.21,1.29,1.13,2026-05-22,0158,T,79,6.1NRT,296.63,26.6,D
10.84247,106.98147,316.57,1.16,1.07,2026-05-22,0158,T,54,6.1NRT,298.61,8.67,D
10.80182,106.95849,315.59,1.16,1.07,2026-05-22,0158,T,52,6.1NRT,296.67,5.97,D
10.66681,106.92154,318.62,1.16,1.07,2026-05-22,0158,T,68,6.1NRT,296.36,11.27,D
10.73501,106.22629,311.49,1.08,1.04,2026-05-22,0158,T,43,6.1NRT,294.41,4.84,D
-6.06911,25.25629,306.25,1.05,1.03,2026-05-22,0145,A,67,6.1NRT,288.78,8.62,N
-6.36032,25.22377,307.34,1.06,1.03,2026-05-22,0145,A,71,6.1NRT,288.94,9.27,N
-7.22344,24.6903,304.28,1.03,1.01,2026-05-22,0145,A,59,6.1NRT,288.37,7.63,N
-7.82791,24.96766,302.61,1.06,1.03,2026-05-22,0145,A,50,6.1NRT,286.26,7.51,N
-7.90808,23.94974,305.83,1.01,1,2026-05-22,0145,A,66,6.1NRT,287.84,8.43,N
62.44181,113.6693,313.1,1.42,1.18,2026-05-22,0145,T,69,6.1NRT,297,13.8,D
62.35938,113.68837,317.07,1.42,1.18,2026-05-22,0145,T,74,6.1NRT,297.28,18.23,D
62.35268,113.76861,314.9,1.41,1.18,2026-05-22,0145,T,71,6.1NRT,297.22,15.21,D
62.34904,113.6844,315.09,1.42,1.18,2026-05-22,0145,T,67,6.1NRT,297,15.06,D
61.82967,113.59064,308.42,1.4,1.17,2026-05-22,0145,T,64,6.1NRT,297.14,8.31,D
61.53733,113.1684,329.05,1.44,1.19,2026-05-22,0145,T,86,6.1NRT,296.87,42.42,D
61.40944,112.89207,321.62,1.46,1.19,2026-05-22,0145,T,81,6.1NRT,297.16,27.89,D
61.39893,112.8884,312.17,1.46,1.19,2026-05-22,0145,T,69,6.1NRT,295.86,12.63,D
61.34861,112.78324,311.99,1.47,1.2,2026-05-22,0145,T,72,6.1NRT,297.06,13.3,D
61.34644,112.81014,363.9,1.47,1.2,2026-05-22,0145,T,100,6.1NRT,303.38,164.9,D
60.33218,120.13823,308.02,1,1,2026-05-22,0145,T,47,6.1NRT,297.12,3.76,D
60.68489,116.34698,305.82,1.13,1.06,2026-05-22,0145,T,56,6.1NRT,295.02,5.36,D
60.68273,116.36678,316.69,1.13,1.06,2026-05-22,0145,T,75,6.1NRT,295.59,14.34,D
60.94131,112.02934,306.3,1.54,1.22,2026-05-22,0145,T,63,6.1NRT,291.46,10.14,D
60.15143,109.10426,308.19,1.95,1.36,2026-05-22,0147,T,67,6.1NRT,283.46,21.91,D
60.13935,109.10182,303.73,1.95,1.36,2026-05-22,0147,T,55,6.1NRT,282.68,14.06,D
59.80209,109.41821,300.62,1.87,1.34,2026-05-22,0147,T,40,6.1NRT,278.39,11.75,D
58.44547,107.58298,303.66,2.15,1.43,2026-05-22,0147,T,49,6.1NRT,286.95,11.44,D
58.44379,107.61824,307.57,2.15,1.42,2026-05-22,0147,T,62,6.1NRT,288.48,18,D
58.44301,107.61236,310.62,2.15,1.42,2026-05-22,0147,T,70,6.1NRT,288.81,22.75,D
46.38939,114.00409,320.76,1,1,2026-05-22,0149,T,79,6.1NRT,290.51,16.42,D
45.75467,115.72684,316.11,1.06,1.03,2026-05-22,0149,T,75,6.1NRT,296.22,10.2,D
26.51792,-77.07861,322.04,1.85,1.33,2026-05-22,0120,T,100,6.1NRT,291.96,46.3,N
26.51472,-77.09638,313.32,1.85,1.33,2026-05-22,0120,T,82,6.1NRT,291.59,27.3,N
26.61082,-78.3707,326.88,2.27,1.46,2026-05-22,0120,T,100,6.1NRT,291.37,82.27,N
32.91749,-81.97256,303.11,2.86,1.61,2026-05-22,0122,T,27,6.1NRT,288.78,20.43,N
40.75968,-81.43578,300.09,1.68,1.28,2026-05-22,0124,T,16,6.1NRT,283.39,11.9,N
63.8653,122.7004,311.33,1,1,2026-05-22,0143,T,46,6.1NRT,300.77,5.67,D
61.44066,134.81932,308.74,2.09,1.41,2026-05-22,0143,T,64,6.1NRT,294.83,16.08,D
-3.69209,103.66117,313.99,1.13,1.06,2026-05-22,0204,T,70,6.1NRT,292.86,10.19,D
35.69053,43.89933,303.21,3.14,1.68,2026-05-22,0134,A,54,6.1NRT,283.83,42.09,N
35.63021,44.01968,301.15,3.21,1.7,2026-05-22,0134,A,38,6.1NRT,284.51,34.82,N
35.69069,43.89191,311.74,3.14,1.68,2026-05-22,0134,A,83,6.1NRT,283.99,72.06,N
35.63118,44.01253,300.04,3.21,1.7,2026-05-22,0134,A,12,6.1NRT,284.42,33.87,N
34.89285,43.80629,304.59,3.26,1.71,2026-05-22,0134,A,61,6.1NRT,285.22,46.94,N
52.69507,42.75221,313.35,1.08,1.04,2026-05-22,0128,A,87,6.1NRT,286.97,16.37,D
52.56195,39.57635,334.16,1,1,2026-05-22,0128,A,100,6.1NRT,289.74,36.42,D
52.54492,39.62937,305.94,1,1,2026-05-22,0128,A,66,6.1NRT,289.46,8.16,D
52.53632,39.62595,324.71,1,1,2026-05-22,0128,A,100,6.1NRT,287.62,23.54,D
52.53421,39.64005,327.98,1,1,2026-05-22,0128,A,100,6.1NRT,287.58,27.54,D
51.13978,37.93666,300.82,1.02,1.01,2026-05-22,0128,A,34,6.1NRT,284.61,6.91,N
13.87714,-86.08167,304.55,2.41,1.5,2026-05-22,0256,T,61,6.1NRT,292.81,18.19,N
14.10285,-85.56438,303.63,2.66,1.57,2026-05-22,0256,T,56,6.1NRT,291.95,18.73,N
14.14776,-86.45766,305.91,2.27,1.46,2026-05-22,0256,T,66,6.1NRT,292.72,18.14,N
14.1135,-87.31614,301.29,1.94,1.36,2026-05-22,0256,T,40,6.1NRT,282.05,14.76,N
14.27794,-86.45687,316.56,2.28,1.46,2026-05-22,0256,T,93,6.1NRT,291.98,46.68,N
